id	fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
63	1	physik	11	0	0	0	1	0	1	241	17	.	63	.	63	p0	77.8	63.5
63	2	physik	11	0	0	0	1	0	1	114	19	17	63	4	63	p0	138.5	59.6
63	3	physik	11	0	0	0	1	0	1	257	22	19	63	7	63	p0	186.9	61.0
63	4	physik	11	0	0	0	1	0	1	134	17	22	63	12	63	p0	255.2	61.7
63	5	physik	11	0	0	0	1	0	1	246	27	17	63	15	63	p0	316.6	61.5
63	6	physik	11	0	0	0	1	0	1	711	21	27	63	9	63	p0	218.2	66.9
63	7	physik	11	0	0	0	1	0	1	237	11	21	63	7	63	p0	183.6	70.3
63	8	physik	11	0	0	0	1	0	1	321	27	11	63	9	63	p0	214.9	63.7
63	9	physik	11	0	0	0	1	0	1	306	24	27	63	16	63	p0	317.4	54.0
63	10	physik	11	0	0	0	1	0	1	213	30	24	63	21	63	p0	409.8	49.8
63	11	physik	11	0	0	0	1	0	1	151	22	30	63	27	63	p0	509.5	45.3
63	12	physik	11	0	0	0	1	0	1	202	32	22	63	32	63	p0	594.3	47.2
63	13	physik	11	0	0	0	1	0	1	205	18	32	63	42	63	p0	748.5	44.0
63	14	physik	11	0	0	0	1	0	1	245	18	18	63	40	63	p0	719.7	51.3
63	15	physik	11	0	0	0	1	0	1	118	36	18	63	44	63	p0	777.9	53.8
63	16	physik	11	0	0	0	1	0	1	410	19	36	63	53	63	p0	912.7	64.7
63	17	physik	11	0	0	0	1	0	1	463	30	19	63	56	63	p0	954.8	63.2
63	18	physik	11	0	0	0	1	0	1	259	33	30	63	64	63	p0	1079.1	60.7
63	19	physik	11	0	0	0	1	0	1	273	15	33	63	71	63	p0	1193.2	60.3
63	20	physik	11	0	0	0	1	0	1	158	18	15	63	73	63	p0	1239.8	62.8
63	21	physik	11	0	0	0	1	0	1	284	21	18	63	78	63	p0	1312.6	65.0
63	22	physik	11	0	0	0	1	0	1	86	23	21	63	82	63	p0	1383.2	70.2
63	23	physik	11	0	0	0	1	0	1	258	13	23	63	87	63	p0	1458.5	55.4
63	24	physik	11	0	0	0	1	0	1	193	8	13	63	90	63	p0	1499.3	56.0
63	25	physik	11	0	0	0	1	0	1	245	11	8	63	92	63	p0	1530.9	58.5
63	26	physik	11	0	0	0	1	0	1	243	106	11	63	94	63	p0	1560.2	59.8
63	27	physik	11	0	0	0	1	0	1	138	20	106	63	100	63	p0	124.6	171.9
63	28	physik	11	0	0	0	1	0	1	250	21	20	63	98	63	p0	89.7	161.8
63	29	physik	11	0	0	0	1	0	1	173	22	21	63	103	63	p0	166.6	154.6
63	30	physik	11	0	0	0	1	0	1	152	20	22	63	107	63	p0	245.7	151.4
