fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	bio	9	0	1	0	1	1	1	24	85	.	1	1	1	b2	81.8	53.2
2	bio	9	0	1	0	1	1	1	180	73	85	1	142	1	b2	840.4	170.4
3	bio	9	0	1	0	1	1	1	65	56	73	1	16	1	b2	309.7	42.6
4	bio	9	0	1	0	1	1	1	266	39	56	1	3	1	b2	113.6	60.3
5	bio	9	0	1	0	1	1	1	221	20	39	1	10	1	b2	224.3	60.9
6	bio	9	0	1	0	1	1	1	137	26	20	1	12	1	b2	249.9	69.0
7	bio	9	0	1	0	1	1	1	335	42	26	1	17	1	b2	341.8	69.1
8	bio	9	0	1	0	1	1	1	211	49	42	1	25	1	b2	473.3	72.2
9	bio	9	0	1	0	1	1	1	286	57	49	1	6	1	b2	151.5	84.6
10	bio	9	0	1	0	1	1	1	209	29	57	1	25	1	b2	467.0	66.6
11	bio	9	0	1	0	1	1	1	211	13	29	1	35	1	b2	642.8	66.4
12	bio	9	0	1	0	1	1	1	153	37	13	1	34	1	b2	624.7	72.7
13	bio	9	0	1	0	1	1	1	115	36	37	1	41	1	b2	745.5	56.1
14	bio	9	0	1	0	1	1	1	105	29	36	1	47	1	b2	839.6	46.7
15	bio	9	0	1	0	1	1	1	229	27	29	1	55	1	b2	966.7	40.2
16	bio	9	0	1	0	1	1	1	179	34	27	1	49	1	b2	873.3	37.9
17	bio	9	0	1	0	1	1	1	246	21	34	1	66	1	b2	1133.3	41.2
18	bio	9	0	1	0	1	1	1	164	40	21	1	70	1	b2	1188.8	37.4
19	bio	9	0	1	0	1	1	1	129	25	40	1	76	1	b2	1292.8	45.3
20	bio	9	0	1	0	1	1	1	215	18	25	1	80	1	b2	1358.4	47.3
21	bio	9	0	1	0	1	1	1	175	29	18	1	77	1	b2	1319.7	51.2
22	bio	9	0	1	0	1	1	1	247	23	29	1	85	1	b2	1438.0	46.2
23	bio	9	0	1	0	1	1	1	233	11	23	1	88	1	b2	1499.4	42.9
24	bio	9	0	1	0	1	1	1	570	25	11	1	89	1	b2	1513.4	46.0
25	bio	9	0	1	0	1	1	1	193	105	25	1	92	1	b2	1555.1	51.6
26	bio	9	0	1	0	1	1	1	68	39	105	1	195	1	b2	285.5	184.8
27	bio	9	0	1	0	1	1	1	86	43	39	1	185	1	b2	120.9	201.0
28	bio	9	0	1	0	1	1	1	189	37	43	1	.	1	b2	56.3	174.6
29	bio	9	0	1	0	1	1	1	229	40	37	1	99	1	b2	151.6	170.1
30	bio	9	0	1	0	1	1	1	209	20	40	1	107	1	b2	287.2	174.8
31	bio	9	0	1	0	1	1	1	103	41	20	1	105	1	b2	252.9	175.7
32	bio	9	0	1	0	1	1	1	323	22	41	1	116	1	b2	417.2	176.0
