fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	physik	4	0	1	1	0	1	1	241	20	.	81	2	81	p5	98.8	48.8
2	physik	4	0	1	1	0	1	1	155	23	20	81	5	81	p5	141.7	42.9
3	physik	4	0	1	1	0	1	1	123	131	23	81	8	81	p5	205.5	40.8
4	physik	4	0	1	1	0	1	1	151	13	131	81	18	81	p5	356.2	48.5
5	physik	4	0	1	1	0	1	1	177	24	13	81	16	81	p5	324.9	49.0
6	physik	4	0	1	1	0	1	1	327	23	24	81	21	81	p5	409.3	62.6
7	physik	4	0	1	1	0	1	1	148	22	23	81	25	81	p5	458.9	68.3
8	physik	4	0	1	1	0	1	1	203	26	22	81	28	81	p5	518.4	69.3
9	physik	4	0	1	1	0	1	1	250	29	26	81	34	81	p5	614.8	73.4
10	physik	4	0	1	1	0	1	1	217	20	29	81	41	81	p5	730.7	70.0
11	physik	4	0	1	1	0	1	1	293	28	20	81	44	81	p5	776.4	74.9
12	physik	4	0	1	1	0	1	1	223	22	28	81	51	81	p5	886.5	78.8
13	physik	4	0	1	1	0	1	1	163	128	22	81	55	81	p5	950.9	74.6
14	physik	4	0	1	1	0	1	1	154	22	128	81	56	81	p5	973.5	69.5
15	physik	4	0	1	1	0	1	1	185	23	22	81	60	81	p5	1031.7	68.6
16	physik	4	0	1	1	0	1	1	97	23	23	81	64	81	p5	1090.0	75.6
17	physik	4	0	1	1	0	1	1	252	21	23	81	68	81	p5	1162.1	76.8
18	physik	4	0	1	1	0	1	1	182	26	21	81	65	81	p5	1108.7	78.3
19	physik	4	0	1	1	0	1	1	77	25	26	81	71	81	p5	1200.7	73.3
20	physik	4	0	1	1	0	1	1	211	23	25	81	75	81	p5	1289.8	78.6
21	physik	4	0	1	1	0	1	1	67	36	23	81	72	81	p5	1226.7	70.7
